EPOCH,BASE_ACC,NOVEL_ACC
5,76.70,60.67
5,76.70,60.67
5,76.70,60.67
10,81.80,60.87
10,81.80,60.87
10,81.80,60.87
15,83.67,61.53
15,83.67,61.53
15,83.67,61.53
20,83.63,60.87
20,83.63,60.87
20,83.63,60.87
25,83.10,61.77
25,83.10,61.77
25,83.10,61.77
30,82.83,61.27
30,82.83,61.27
30,82.83,61.27
35,82.97,61.23
35,82.97,61.23
35,82.97,61.23
40,82.67,61.53
40,82.67,61.53
40,82.67,61.53
45,82.70,61.40
45,82.70,61.40
45,82.70,61.40
50,83.00,61.77
50,83.00,61.77
50,83.00,61.77
55,82.67,61.40
55,82.67,61.40
55,82.67,61.40
